Time	NoCaNnoAKAP	CaNonly	CaNAKAP
5	100.0617284	98.88888889	97.80864198
10	100.462963	98.02469136	98.05555556
15	98.42592593	98.33333333	97.40740741
20	100.9876543	100.7407407	97.4382716
25	99.16666667	99.87654321	100.5555556
30	99.53703704	99.01234568	97.62345679
35	99.25925926	99.41358025	98.58024691
40	98.27160494	99.22839506	98.58024691
45	99.53703704	99.19753086	99.10493827
50	100.308642	98.85802469	98.39506173
55	99.47530864	97.5308642	99.9382716
60	97.80864198	99.04320988	98.88888889
65	98.33333333	100	98.08641975
70	99.66049383	99.50617284	99.07407407
75	98.7962963	98.7345679	98.48765432
80	99.62962963	99.04320988	98.7037037
85	99.72222222	100.2160494	98.7962963
90	99.29012346	99.22839506	98.11728395
95	98.82716049	99.32098765	98.58024691
100	99.69135802	99.19753086	100.2777778
105	99.59876543	99.07407407	98.91975309
110	98.48765432	100.0925926	99.22839506
115	100.5864198	99.29012346	100.0308642
120	99.10493827	101.6975309	100.2469136
125	100.2160494	100.308642	98.67283951
130	101.7592593	100.0925926	98.58024691
135	101.0185185	100.5864198	98.82716049
140	100.3703704	99.22839506	99.22839506
145	101.0185185	101.1419753	99.32098765
150	101.6358025	100.8950617	98.58024691
155	101.7592593	100.9567901	99.66049383
160	101.6666667	100.617284	100.3703704
165	99.81481481	101.4814815	100.5246914
170	101.7283951	100.0308642	100.154321
175	101.1419753	101.882716	100.0308642
180	101.0493827	101.0802469	99.32098765
185	102.3148148	101.1728395	98.64197531
190	102.4074074	101.8518519	100.9259259
195	101.4814815	99.9382716	99.59876543
200	102.3765432	102.5925926	100.5246914
205	101.8518519	101.0493827	99.22839506
210	102.5925926	101.8209877	98.91975309
215	101.5123457	101.0802469	100.2777778
220	102.5308642	103.6111111	99.53703704
225	103.6111111	103.3333333	99.47530864
230	102.4382716	102.037037	99.75308642
235	103.3333333	100.9876543	99.35185185
240	102.8395062	102.191358	100.4938272
245	104.3209877	100.9259259	99.81481481
250	104.4753086	101.882716	99.62962963
255	104.7222222	102.5925926	100.0308642
260	105.1851852	102.3148148	100.3703704
265	103.6419753	102.9320988	99.9691358
270	104.9382716	100.8950617	99.35185185
275	105.4320988	100.8950617	101.0185185
280	103.8271605	101.4814815	99.50617284
285	105.5246914	101.0493827	99.69135802
290	105.9567901	103.2098765	99.53703704
295	105.154321	102.5	99.75308642
300	107.1296296	102.3765432	98.67283951
305	106.3888889	101.4197531	99.25925926
310	105.2777778	101.3580247	98.61111111
315	106.4814815	102.7160494	98.45679012
320	106.2962963	103.2098765	98.85802469
325	106.3888889	103.3641975	100.6790123
330	107.0679012	102.4074074	99.32098765
335	107.5	102.7160494	99.59876543
340	107.7160494	104.537037	99.50617284
345	107.4382716	103.7962963	100.0308642
350	109.4135802	102.3765432	98.61111111
355	109.2901235	104.537037	99.01234568
360	108.6728395	104.2283951	99.9691358
365	109.9691358	104.6296296	100.0308642
370	109.0123457	104.0123457	101.6975309
375	109.2592593	104.7222222	100
380	106.6358025	104.6296296	99.72222222
385	109.0123457	103.9506173	99.38271605
390	109.5061728	104.9691358	99.87654321
395	109.537037	103.0555556	99.22839506
400	109.845679	104.691358	99.87654321
405	112.4691358	106.4506173	100.8641975
410	111.4506173	105.8950617	99.81481481
415	109.9382716	105.154321	99.56790123
420	111.5432099	105.1234568	99.72222222
425	112.808642	106.1111111	99.9691358
430	110.8024691	105.8333333	100.3703704
435	113.1481481	105.9876543	99.53703704
440	113.4259259	106.0493827	99.16666667
445	112.7160494	105.2160494	101.0493827
450	113.2716049	107.5	100.0925926
455	112.2839506	107.1604938	99.84567901
460	113.6111111	104.7222222	98.36419753
465	112.7777778	107.4382716	101.4506173
470	113.8271605	106.7901235	101.3888889
475	112.3148148	106.5740741	100.2777778
480	114.4444444	106.0493827	100.308642
485	114.9691358	106.6358025	101.2962963
490	116.0493827	107.0061728	102.2530864
495	113.7654321	107.6234568	101.3888889
500	114.5061728	107.6851852	99.9691358
505	115.5555556	106.6666667	101.4197531
510	115.8950617	107.4382716	101.2345679
515	117.0987654	108.1481481	100.5555556
520	116.5123457	107.5	101.2962963
525	115.7098765	106.6975309	101.1111111
530	117.3765432	109.7222222	99.32098765
535	117.7469136	108.3641975	100.8024691
540	118.1790123	106.6666667	100.8641975
545	116.7901235	108.3024691	100.9567901
550	117.1296296	108.2098765	99.01234568
555	120	109.1358025	101.8209877
560	117.2839506	110.462963	100.5555556
565	117.1604938	108.5802469	100.2777778
570	116.9444444	108.1790123	100.617284
575	117.191358	108.5802469	100.9567901
580	118.6419753	108.7037037	100.2160494
585	118.2098765	108.3333333	101.5123457
590	118.2716049	109.6604938	101.5432099
595	116.6358025	111.5432099	100.6790123
600	119.6604938	109.9382716	100.1234568
605	118.3167557	109.0163269	100.8955675
